ID,Locality,PricePr,Tenement building,Venue of the sale,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition,Type,Subtype
10000546,knokke,2700000€,No,,3.0,95.0,,,,Yes,,,,,,,As new,apartment,
9857683,knokke-heist,719000€,No,,2.0,83.0,Installed,No,,Yes,,,,,2.0,,To be done up,apartment,
8887880,knokke-heist,520000€,No,,3.0,96.0,,No,,,,Yes,,,2.0,,As new,apartment,
9972473,brugge,319000€,No,,5.0,260.0,,No,,,,,,,2.0,,To renovate,apartment,
9853917,blankenberge,129000€,No,,,40.0,Hyper equipped,Yes,,,,,,,4.0,,As new,apartment,
10182110,brugge,630000€,No,,5.0,229.0,,No,,,,,,,3.0,,,apartment,
10264863,knokke-heist,465000€,No,,2.0,,,,,,,,,,,,As new,apartment,
10291825,blankenberge,220000€,No,,2.0,75.0,,No,,,,,,,,,Just renovated,apartment,
10299288,knokke-heist,1795000€,No,,3.0,120.0,,No,,Yes,,,,,2.0,,Just renovated,apartment,
10281463,brugge,379000€,No,,3.0,,USA hyper equipped,No,,,,,,,,,As new,apartment,
10254768,knokke-heist,830000€,No,,3.0,87.0,,,,,7.0,,,,1.0,,Just renovated,apartment,
10256618,de-haan,195000€,No,,1.0,46.0,,No,,Yes,,Yes,,,,,As new,apartment,
10058234,knokke,1350000€,No,,3.0,143.0,Installed,,,Yes,,,,,4.0,,As new,apartment,
10023793,zeebrugge,189000€,No,,1.0,38.0,Installed,Yes,,,,,,,,,Good,apartment,
9269673,oostende,280000€,No,,1.0,69.0,Hyper equipped,No,,Yes,,,,,,,As new,apartment,
10257453,brugge,379000€,No,,3.0,100.0,Hyper equipped,,,,12.0,,,,3.0,,As new,apartment,
10181816,oostende,545000€,No,,2.0,106.0,,No,,,33.0,,,,,,As new,apartment,
10077840,knokke-heist,395000€,No,,1.0,32.0,,,,,,,,,,,As new,apartment,
9847294,de-haan,1650000€,No,,2.0,242.0,USA hyper equipped,,,Yes,,,,,2.0,,As new,apartment,
10250343,knokke-zoute,599000€,No,,2.0,58.0,Hyper equipped,,,,,,,,2.0,,,apartment,
10041805,blankenberge,157000€,No,,1.0,57.0,,,,,,,,,2.0,,Good,apartment,
10251372,blankenberge,247000€,No,,1.0,45.0,,Yes,,Yes,,,,,,,As new,apartment,
10291829,blankenberge,220000€,No,,2.0,65.0,,Yes,,,10.0,,,,,,,apartment,
9777099,oostende,310000€,No,,2.0,120.0,,No,,Yes,,Yes,,,2.0,,As new,apartment,
10297965,knokke-heist,535000€,No,,1.0,41.0,USA hyper equipped,Yes,,,80.0,,,,2.0,,Just renovated,apartment,
8697128,oostende,129000€,No,,,,,,,,,,,,2.0,,,apartment,
10307842,blankenberge,274500€,No,,1.0,70.0,Installed,No,,,6.0,,,,2.0,,,apartment,
10263948,knokke-heist-knokke,845000€,No,,2.0,75.0,USA hyper equipped,Yes,,,40.0,,,,2.0,,Good,apartment,
10265847,blankenberge,349000€,No,,2.0,59.0,,No,,Yes,,,,,2.0,,Good,apartment,
9691526,blankenberge,255000€,No,,2.0,120.0,,,,,,,,,,,,apartment,
9884479,knokke,645000€,No,,2.0,92.0,Not installed,No,,,,,,,2.0,,As new,apartment,
9958886,oostende,129500€,No,,1.0,55.0,,No,,,,,,,2.0,,To renovate,apartment,
10307825,blankenberge,262250€,No,,1.0,66.0,Installed,No,,,4.0,,,,,,,apartment,
10253909,westende,185000€,No,,2.0,56.0,,No,,,,,,,,,As new,apartment,
10144512,oostende,350000€,No,,2.0,128.0,Installed,No,,,,,14.0,,,,Just renovated,apartment,
10308725,knokke,835000€,No,,2.0,107.0,Hyper equipped,Yes,,Yes,,,,,2.0,,,apartment,
8887881,knokke-heist,525000€,No,,3.0,93.0,,No,,,,,,,2.0,,As new,apartment,
10185120,oostende,179000€,No,,2.0,80.0,Installed,No,,,,,,,,,As new,apartment,
10288169,oostende,325000€,No,,5.0,,,No,,,,,,,2.0,,Good,apartment,
10216304,het-zoute,1950000€,No,,3.0,105.0,,No,,,,,,,2.0,,,apartment,
10291822,blankenberge,580000€,No,,2.0,86.0,Installed,No,,,13.0,,,,,,,apartment,
10256694,knokke-heist,895000€,No,,3.0,120.0,Installed,Yes,,,,,,,,,As new,apartment,
